Date,Close/Last,Volume,Open,High,Low
07/25/2023,$128.61,2994903,$127.80,$130.11,$127.14
07/24/2023,$128.39,3079649,$126.50,$129.93,$126.215
07/21/2023,$125.82,2587371,$125.00,$126.16,$123.955
07/20/2023,$124.25,3143068,$123.00,$124.30,$122.08
07/19/2023,$122.11,2883244,$119.46,$122.21,$119.46
07/18/2023,$119.43,2314149,$117.93,$121.59,$117.63
07/17/2023,$118.13,2117325,$118.04,$119.37,$117.275
07/14/2023,$118.41,2007451,$119.54,$119.54,$117.54
07/13/2023,$119.92,2374533,$119.94,$121.14,$118.81
07/12/2023,$119.96,2395668,$121.00,$122.425,$119.42
07/11/2023,$120.01,2652589,$118.51,$120.2835,$117.95
07/10/2023,$117.84,2582577,$117.58,$118.94,$117.15
07/07/2023,$118.02,4147642,$113.36,$119.10,$113.20
07/06/2023,$113.34,3084863,$115.42,$115.90,$112.82
07/05/2023,$116.21,2777208,$117.70,$117.90,$115.66
07/03/2023,$117.54,1537197,$117.16,$118.61,$116.835
06/30/2023,$116.60,2654569,$116.79,$117.47,$115.50
06/29/2023,$116.34,2324891,$115.25,$117.00,$115.10
06/28/2023,$115.10,2514752,$113.89,$115.35,$112.885
06/27/2023,$113.98,2341864,$113.14,$114.68,$112.42
06/26/2023,$113.04,2352059,$111.51,$113.69,$111.27
06/23/2023,$111.64,3536104,$109.71,$112.03,$109.71
06/22/2023,$111.42,2911860,$110.30,$111.89,$108.88
06/21/2023,$112.00,2943570,$110.45,$113.14,$109.94
06/20/2023,$110.94,3816636,$112.91,$113.1297,$110.69
06/16/2023,$113.29,10770600,$114.06,$114.50,$112.59
06/15/2023,$113.83,3240412,$111.81,$114.49,$111.81
06/14/2023,$111.64,3152402,$113.46,$114.10,$110.64
06/13/2023,$112.50,3174993,$113.75,$115.60,$112.32
06/12/2023,$112.37,3063778,$111.09,$113.83,$111.045
06/09/2023,$113.01,2699216,$112.74,$113.54,$111.22
06/08/2023,$112.43,3811942,$114.00,$114.59,$110.49
06/07/2023,$114.12,4090925,$109.13,$114.16,$108.94
06/06/2023,$109.03,2949632,$107.05,$109.41,$106.95
06/05/2023,$108.69,2744741,$109.85,$109.42,$107.60
06/02/2023,$108.91,3627588,$107.94,$109.88,$106.76
06/01/2023,$105.87,4180028,$105.45,$107.27,$104.815
05/31/2023,$104.91,12831940,$105.61,$106.55,$104.32
05/30/2023,$107.79,4101954,$106.54,$108.22,$106.16
05/26/2023,$108.81,3479350,$110.18,$110.3045,$107.69
05/25/2023,$109.52,3897612,$109.02,$109.79,$107.43
05/24/2023,$110.54,3699126,$111.05,$111.3988,$109.18
05/23/2023,$109.92,3982028,$110.88,$111.51,$109.42
05/22/2023,$110.63,3000281,$110.53,$111.78,$110.35
05/19/2023,$110.31,2325541,$111.81,$112.143,$109.855
05/18/2023,$110.98,3359306,$109.95,$111.30,$108.67
05/17/2023,$110.63,3730626,$108.32,$111.265,$107.105
05/16/2023,$106.75,4514762,$109.88,$110.84,$106.48
05/15/2023,$110.63,3937735,$110.41,$111.94,$109.5239
05/12/2023,$109.88,3260415,$111.17,$111.76,$109.08
05/11/2023,$110.10,3579495,$109.59,$111.67,$108.99
05/10/2023,$111.72,5078448,$111.53,$112.97,$109.29
05/09/2023,$110.94,5638008,$107.88,$111.89,$107.69
05/08/2023,$108.71,4440937,$108.52,$109.79,$107.71
05/05/2023,$106.90,4351117,$107.93,$108.46,$106.68
05/04/2023,$105.06,7334114,$109.54,$110.4799,$104.44
05/03/2023,$110.07,6635083,$115.37,$116.77,$109.895
05/02/2023,$116.97,5342436,$122.00,$122.43,$114.56
05/01/2023,$122.46,4173223,$121.44,$122.94,$120.82
04/28/2023,$122.00,5342330,$120.49,$123.17,$119.75
04/27/2023,$121.43,4610790,$122.53,$123.07,$120.58
04/26/2023,$122.53,3425211,$123.40,$123.82,$121.3203
04/25/2023,$123.15,2884934,$125.18,$125.7499,$122.51
04/24/2023,$126.51,4208145,$123.31,$127.636,$123.02
04/21/2023,$123.53,3256262,$125.63,$126.06,$122.65
04/20/2023,$125.69,3061131,$125.06,$126.34,$124.405
04/19/2023,$126.39,3835562,$127.94,$128.40,$124.71
04/18/2023,$129.06,2960612,$128.15,$129.665,$127.355
04/17/2023,$129.30,2875349,$130.21,$130.66,$127.62
04/14/2023,$130.78,2402720,$130.47,$131.78,$129.44
04/13/2023,$130.48,2495423,$129.46,$131.10,$127.70
04/12/2023,$130.22,2411924,$131.69,$132.09,$130.00
04/11/2023,$132.19,2582925,$131.99,$133.34,$131.09
04/10/2023,$131.24,2765901,$128.73,$131.97,$128.73
04/06/2023,$128.68,3280091,$132.95,$133.05,$128.38
04/05/2023,$132.71,6391331,$125.50,$133.40,$125.06
04/04/2023,$125.82,5256801,$134.28,$134.47,$124.90
04/03/2023,$135.64,4745657,$137.23,$138.83,$132.93
03/31/2023,$134.83,3143368,$134.19,$134.90,$132.86
03/30/2023,$133.94,2936187,$135.02,$135.27,$133.00
03/29/2023,$134.08,4418774,$134.01,$135.13,$132.995
03/28/2023,$131.57,3913210,$127.05,$132.71,$127.00
03/27/2023,$128.91,4107355,$126.30,$129.93,$125.89
03/24/2023,$124.70,3856137,$123.32,$125.51,$120.58
03/23/2023,$126.15,3236283,$127.33,$130.50,$124.98
03/22/2023,$126.98,3225956,$128.26,$130.75,$126.91
03/21/2023,$128.29,4607878,$128.54,$130.04,$126.71
03/20/2023,$126.25,4830744,$123.64,$127.30,$123.46
03/17/2023,$123.66,13118670,$125.20,$125.73,$122.89
03/16/2023,$125.16,6170646,$120.27,$125.98,$119.46
03/15/2023,$122.69,6669090,$123.38,$124.50,$119.59
03/14/2023,$127.78,4528122,$124.71,$130.74,$124.29
03/13/2023,$123.78,4107674,$124.97,$126.42,$121.87
03/10/2023,$128.55,3746735,$129.06,$132.02,$128.0334
03/09/2023,$128.38,3370852,$128.95,$132.45,$128.25
03/08/2023,$127.87,3516743,$130.00,$131.76,$125.63
03/07/2023,$130.21,3592557,$131.56,$132.68,$129.30
03/06/2023,$131.92,3271530,$132.21,$133.24,$130.64
03/03/2023,$133.50,3651780,$129.52,$134.1355,$128.78
03/02/2023,$129.63,3054078,$128.71,$130.395,$127.88
03/01/2023,$129.19,4295291,$123.67,$129.97,$123.06
02/28/2023,$123.60,5774574,$127.72,$127.79,$123.54
02/27/2023,$126.58,3057628,$125.50,$127.58,$125.34
02/24/2023,$124.92,3218737,$123.56,$125.46,$121.54
02/23/2023,$125.52,2893662,$124.86,$126.47,$122.88
02/22/2023,$122.78,3142874,$122.66,$124.92,$121.99
02/21/2023,$123.07,3988081,$121.67,$124.71,$121.67
02/17/2023,$122.50,3275855,$124.72,$125.00,$121.55
02/16/2023,$126.51,2595050,$126.60,$128.62,$126.19
02/15/2023,$127.11,3049842,$126.44,$127.42,$125.27
02/14/2023,$128.64,3174489,$126.87,$129.355,$126.55
02/13/2023,$127.81,3499762,$126.12,$127.86,$125.14
02/10/2023,$126.79,3467618,$122.58,$127.08,$122.58
02/09/2023,$120.74,2788541,$121.50,$122.31,$119.75
02/08/2023,$121.56,3005452,$122.10,$122.72,$119.58
02/07/2023,$122.23,5361908,$116.78,$122.64,$116.78
02/06/2023,$116.41,4190064,$118.54,$119.41,$114.115
02/03/2023,$118.20,3255123,$120.57,$121.875,$118.04
02/02/2023,$119.90,6275745,$122.76,$122.83,$118.09
02/01/2023,$122.97,5189881,$128.85,$129.10,$121.87
01/31/2023,$128.52,5408672,$131.55,$133.00,$126.71
01/30/2023,$129.14,4152328,$132.20,$133.50,$129.01
01/27/2023,$132.85,3400601,$135.16,$136.46,$132.40
01/26/2023,$135.35,4005337,$130.71,$135.42,$129.69
01/25/2023,$129.81,3671645,$129.46,$130.85,$128.29
01/24/2023,$130.21,3782202,$117.31,$130.74,$117.31
01/23/2023,$126.88,3963352,$126.24,$128.825,$126.081
01/20/2023,$125.72,2882014,$123.26,$126.15,$122.534
01/19/2023,$123.23,2475569,$120.47,$123.66,$120.22
01/18/2023,$121.31,3709344,$122.83,$125.85,$121.01
01/17/2023,$121.77,3746939,$122.83,$125.30,$121.29
01/13/2023,$121.93,2780709,$121.12,$122.89,$120.24
01/12/2023,$121.01,3091314,$118.45,$121.83,$118.45
01/11/2023,$117.60,2977033,$118.31,$118.77,$117.17
01/10/2023,$116.50,2752352,$115.73,$116.89,$114.04
01/09/2023,$115.76,3716831,$119.39,$119.92,$114.89
01/06/2023,$116.82,3102813,$116.85,$119.35,$116.06
01/05/2023,$115.73,4093558,$110.58,$115.78,$110.25
01/04/2023,$110.58,3664596,$109.08,$112.14,$109.00
01/03/2023,$110.92,4363887,$115.65,$115.65,$110.32
12/30/2022,$116.39,2370808,$115.67,$116.76,$115.39
12/29/2022,$116.18,2054071,$114.52,$116.41,$114.25
12/28/2022,$114.52,2650566,$116.75,$116.99,$113.96
12/27/2022,$116.82,2420033,$115.74,$117.11,$115.23
12/23/2022,$115.12,2388039,$112.66,$115.39,$112.08
12/22/2022,$111.65,2700327,$114.60,$114.73,$109.63
12/21/2022,$114.55,3226056,$114.60,$115.16,$112.80
12/20/2022,$113.01,3520727,$111.32,$114.36,$111.07
12/19/2022,$111.07,3408890,$110.63,$112.40,$110.2729
12/16/2022,$109.75,14691260,$108.47,$110.21,$107.70
12/15/2022,$110.87,4255915,$110.17,$110.98,$108.07
12/14/2022,$110.94,4257790,$111.61,$112.68,$109.69
12/13/2022,$111.12,4260294,$112.80,$113.80,$110.36
12/12/2022,$111.21,5812632,$107.30,$111.21,$106.62
12/09/2022,$106.83,5379930,$108.35,$110.10,$106.52
12/08/2022,$108.85,4547387,$110.72,$111.54,$108.36
12/07/2022,$109.00,5190248,$109.21,$110.815,$107.86
12/06/2022,$109.29,5049361,$111.81,$113.75,$108.13
12/05/2022,$112.45,4945647,$118.75,$119.30,$111.98
12/02/2022,$118.23,3889225,$119.64,$121.19,$117.57
12/01/2022,$120.23,3243598,$122.70,$123.09,$120.18
11/30/2022,$121.81,7568560,$124.51,$124.93,$120.39
11/29/2022,$123.47,2921495,$122.70,$124.64,$122.16
11/28/2022,$121.92,3414724,$122.50,$124.6599,$121.52
11/25/2022,$125.20,1588506,$126.22,$127.62,$125.07
11/23/2022,$125.60,3941363,$124.76,$127.35,$124.28
11/22/2022,$126.60,4314031,$121.99,$127.32,$121.83
11/21/2022,$120.31,5107356,$119.97,$120.79,$116.59
11/18/2022,$121.18,3783502,$118.69,$121.83,$117.97
11/17/2022,$120.40,3202198,$118.19,$120.49,$117.7545
11/16/2022,$119.86,2758644,$118.73,$120.535,$118.14
11/15/2022,$120.00,3580655,$120.88,$121.42,$118.19
11/14/2022,$120.53,2801038,$121.15,$123.12,$120.41
11/11/2022,$121.23,3390221,$120.72,$122.69,$119.845
11/10/2022,$119.18,2875487,$118.44,$119.43,$116.485
11/09/2022,$115.86,2882369,$118.44,$119.41,$115.72
11/08/2022,$119.10,2108841,$119.43,$119.625,$117.32
11/07/2022,$119.50,4505804,$118.09,$120.38,$117.66
11/04/2022,$117.65,2748583,$120.32,$120.98,$116.38
11/03/2022,$118.20,3042142,$114.11,$118.94,$113.28
11/02/2022,$114.73,4001439,$119.08,$119.16,$114.70
11/01/2022,$119.20,5767338,$113.84,$119.84,$112.77
10/31/2022,$113.62,3158527,$112.22,$115.12,$112.02
10/28/2022,$113.57,2552826,$114.60,$114.8899,$112.34
10/27/2022,$113.65,2518706,$114.58,$115.72,$113.37
10/26/2022,$113.12,2477731,$112.11,$114.16,$110.49
10/25/2022,$111.44,3139158,$110.74,$111.84,$109.63
10/24/2022,$111.46,2691269,$111.53,$112.30,$110.32
10/21/2022,$111.38,3074863,$109.82,$111.62,$107.73
10/20/2022,$109.34,2733116,$109.59,$111.61,$108.605
10/19/2022,$108.87,3627215,$108.21,$110.17,$107.55
10/18/2022,$108.16,2755271,$106.92,$108.62,$106.088
10/17/2022,$105.37,2340667,$105.96,$107.61,$104.805
10/14/2022,$104.10,3055695,$108.41,$109.91,$103.68
10/13/2022,$109.07,3243894,$103.79,$110.20,$103.33
10/12/2022,$104.96,3051947,$103.06,$105.85,$101.64
10/11/2022,$103.43,3213516,$104.39,$105.31,$102.61
10/10/2022,$106.06,2751454,$107.38,$108.63,$105.09
10/07/2022,$106.84,3114945,$108.26,$109.0199,$105.71
10/06/2022,$107.86,2396886,$106.92,$108.39,$106.21
10/05/2022,$107.58,4493415,$107.27,$108.54,$104.81
10/04/2022,$107.72,5011092,$104.60,$107.80,$104.05
10/03/2022,$102.79,3777772,$102.41,$103.96,$100.21
09/30/2022,$99.33,5011684,$98.45,$100.94,$98.03
09/29/2022,$98.70,2767749,$99.50,$99.80,$97.2647
09/28/2022,$100.09,5233450,$93.36,$100.57,$93.10
09/27/2022,$92.85,3748643,$91.43,$93.57,$91.15
09/26/2022,$89.54,5627391,$90.80,$93.06,$89.40
09/23/2022,$91.45,8267956,$92.70,$92.95,$90.03
09/22/2022,$95.98,3163051,$95.98,$97.0588,$95.13
09/21/2022,$94.67,4218801,$99.01,$99.22,$94.61
09/20/2022,$97.20,3929977,$95.40,$97.57,$95.40
09/19/2022,$96.30,4201980,$92.89,$96.445,$92.26
09/16/2022,$95.65,18821740,$95.95,$96.32,$93.54
09/15/2022,$96.14,6584987,$96.96,$96.96,$94.77
09/14/2022,$98.32,5021478,$98.80,$100.19,$97.14
09/13/2022,$97.65,4777370,$98.26,$99.76,$97.17
09/12/2022,$99.94,3233882,$101.23,$101.6201,$99.10
09/09/2022,$100.01,3572850,$100.20,$100.56,$99.05
09/08/2022,$98.45,4040095,$98.72,$98.99,$97.33
09/07/2022,$98.34,4176235,$97.00,$98.85,$95.64
09/06/2022,$98.46,4122882,$99.95,$100.27,$97.56
09/02/2022,$99.13,4207513,$98.37,$100.175,$98.18
09/01/2022,$96.76,7519985,$98.93,$100.07,$95.58
08/31/2022,$100.75,6636190,$99.66,$102.92,$99.15
08/30/2022,$101.50,6281671,$103.30,$103.83,$101.21
08/29/2022,$105.00,4563252,$103.81,$106.72,$103.28
08/26/2022,$104.34,3545268,$106.03,$106.80,$104.02
08/25/2022,$105.97,2869338,$105.05,$106.04,$104.67
08/24/2022,$104.78,3601416,$103.88,$104.94,$103.36
08/23/2022,$103.49,3550387,$101.89,$103.84,$101.63
08/22/2022,$100.42,5836951,$100.00,$101.26,$98.55
08/19/2022,$100.45,3237572,$100.35,$101.52,$100.09
08/18/2022,$100.79,3837632,$99.70,$101.34,$99.50
08/17/2022,$98.62,3652176,$96.09,$99.4229,$95.88
08/16/2022,$96.65,3697653,$96.66,$97.64,$95.845
08/15/2022,$95.79,3352269,$94.48,$96.105,$93.80
08/12/2022,$97.47,3605180,$96.50,$97.75,$96.23
08/11/2022,$96.71,4476182,$96.41,$97.335,$95.06
08/10/2022,$95.18,4373805,$94.20,$95.73,$92.54
08/09/2022,$93.35,4302880,$91.70,$93.86,$91.70
08/08/2022,$90.39,4418803,$90.64,$91.79,$89.95
08/05/2022,$90.22,3833275,$89.06,$91.82,$88.69
08/04/2022,$90.17,4368805,$92.00,$92.61,$89.77
08/03/2022,$92.68,6162042,$94.49,$96.50,$92.115
08/02/2022,$93.62,6764616,$90.85,$94.91,$90.62
08/01/2022,$90.32,4470934,$90.02,$90.70,$88.33
07/29/2022,$91.66,6740908,$90.71,$91.96,$89.95
07/28/2022,$89.59,3800817,$91.05,$91.91,$88.25
07/27/2022,$89.98,3051795,$88.68,$90.715,$87.61
07/26/2022,$87.96,3338719,$89.82,$90.05,$87.35
07/25/2022,$88.80,3206611,$86.80,$89.05,$86.37
07/22/2022,$85.65,3950018,$86.59,$87.78,$85.14
07/21/2022,$86.45,4713675,$86.25,$87.41,$83.62
07/20/2022,$88.79,3131956,$87.34,$89.26,$86.73
07/19/2022,$87.85,4302550,$85.18,$88.28,$85.14
07/18/2022,$85.23,4032372,$86.01,$87.53,$84.77
07/15/2022,$84.42,4706345,$82.50,$84.50,$81.68
07/14/2022,$80.68,4935756,$79.39,$80.76,$77.92
07/13/2022,$81.94,4485931,$81.64,$84.07,$81.31
07/12/2022,$82.75,4458195,$81.50,$83.44,$81.05
07/11/2022,$83.63,4050712,$82.28,$84.09,$81.83
07/08/2022,$83.27,3825503,$84.49,$85.18,$82.49
07/07/2022,$83.43,6299939,$81.65,$84.24,$81.25
07/06/2022,$79.31,8348482,$80.91,$82.53,$77.62
07/05/2022,$81.74,7247742,$82.57,$84.329,$79.475
07/01/2022,$84.48,5971928,$83.00,$85.05,$81.085
06/30/2022,$82.21,6762749,$83.09,$84.49,$81.31
06/29/2022,$84.48,5066261,$89.71,$90.30,$84.1443
06/28/2022,$88.69,5305844,$89.52,$91.35,$87.63
06/27/2022,$87.94,5225428,$87.27,$88.58,$86.07
06/24/2022,$85.68,20112530,$85.90,$88.03,$84.55
06/23/2022,$84.63,9130045,$90.22,$90.48,$83.60
06/22/2022,$89.06,9820325,$87.63,$91.12,$87.44
06/21/2022,$91.36,11309250,$89.98,$92.86,$89.51
06/17/2022,$87.29,26759320,$91.74,$92.46,$85.63
06/16/2022,$91.98,14308200,$96.54,$97.57,$91.21
06/15/2022,$98.90,13175830,$102.98,$103.28,$96.84
06/14/2022,$102.67,8432770,$104.70,$106.75,$101.21
06/13/2022,$102.17,8749089,$104.73,$105.80,$101.29
06/10/2022,$108.34,7421503,$109.27,$110.89,$106.97
06/09/2022,$111.36,6594863,$112.52,$113.46,$111.30
06/08/2022,$112.87,6385388,$114.06,$114.35,$112.47
06/07/2022,$113.65,7723904,$108.78,$113.66,$108.77
06/06/2022,$109.39,7557254,$105.83,$110.31,$105.81
06/03/2022,$105.62,5665396,$104.42,$106.1399,$104.265
06/02/2022,$104.27,5154189,$103.20,$104.63,$102.68
06/01/2022,$103.91,5366601,$102.86,$104.61,$101.66
05/31/2022,$101.79,11267090,$102.91,$104.61,$101.43
05/27/2022,$102.10,5987384,$99.69,$102.55,$99.59
05/26/2022,$99.48,4520599,$99.77,$100.361,$98.76
05/25/2022,$99.02,5486162,$97.27,$100.08,$97.10
05/24/2022,$97.30,3941342,$95.89,$97.84,$95.21
05/23/2022,$96.91,5440225,$97.63,$98.95,$96.14
05/20/2022,$96.56,5892868,$96.48,$97.46,$94.49
05/19/2022,$95.76,7399932,$94.25,$97.73,$94.0167
05/18/2022,$96.21,6277719,$97.98,$98.20,$94.52
05/17/2022,$97.55,5576321,$97.83,$98.29,$95.67
05/16/2022,$96.47,5703539,$95.10,$97.93,$95.10
05/13/2022,$95.88,5834858,$94.33,$96.72,$94.27
05/12/2022,$92.74,6985519,$92.37,$93.23,$90.585
05/11/2022,$91.96,6411017,$93.16,$95.60,$91.58
05/10/2022,$91.72,6186548,$91.95,$94.77,$89.81
05/09/2022,$90.86,6756748,$93.60,$94.53,$90.65
05/06/2022,$95.92,4572192,$95.25,$96.00,$92.04
05/05/2022,$94.10,5020677,$96.38,$96.90,$92.21
05/04/2022,$96.35,5416278,$94.06,$96.55,$92.94
05/03/2022,$92.65,5831571,$88.65,$93.21,$87.45
05/02/2022,$89.12,5088222,$87.44,$89.34,$86.45
04/29/2022,$87.26,5081932,$89.83,$90.54,$87.19
04/28/2022,$89.69,5160459,$87.85,$90.23,$86.67
04/27/2022,$87.25,5220083,$85.85,$88.04,$84.42
04/26/2022,$85.47,5208434,$84.85,$86.96,$84.24
04/25/2022,$84.26,4915571,$84.68,$84.99,$81.57
04/22/2022,$87.08,4052170,$88.42,$89.58,$87.00
04/21/2022,$88.74,5588175,$92.00,$93.16,$88.68
04/20/2022,$90.98,4808958,$90.75,$91.875,$90.54
04/19/2022,$90.44,3868903,$89.70,$91.21,$89.39
04/18/2022,$90.11,5281272,$88.44,$90.61,$88.03
04/14/2022,$87.20,4080464,$87.44,$88.32,$87.00
04/13/2022,$87.59,3342274,$86.67,$87.64,$85.76
04/12/2022,$85.80,4236091,$86.41,$87.52,$85.55
04/11/2022,$84.88,4464721,$86.22,$86.34,$84.73
04/08/2022,$86.90,5088894,$86.52,$87.67,$85.75
04/07/2022,$85.85,4205620,$85.97,$86.37,$83.95
04/06/2022,$85.57,4564461,$85.35,$85.94,$84.03
04/05/2022,$84.71,3789284,$85.51,$86.44,$84.64
04/04/2022,$85.07,3802330,$85.01,$85.98,$84.45
04/01/2022,$84.81,7411874,$85.28,$86.27,$84.27
03/31/2022,$85.50,7041173,$84.59,$87.10,$84.1975
03/30/2022,$85.35,5880396,$84.18,$85.50,$83.71
03/29/2022,$83.14,4203765,$80.66,$83.15,$80.4868
03/28/2022,$81.97,4447904,$81.03,$82.435,$80.7444
03/25/2022,$82.23,5186737,$81.00,$82.41,$80.76
03/24/2022,$81.39,4247113,$80.99,$81.75,$80.39
03/23/2022,$80.46,4641248,$80.07,$80.95,$79.69
03/22/2022,$79.25,5131519,$79.94,$80.25,$78.27
03/21/2022,$79.98,6260927,$79.80,$80.22,$79.17
03/18/2022,$78.32,17588380,$77.11,$78.40,$76.06
03/17/2022,$77.15,7091300,$75.75,$77.25,$75.585
03/16/2022,$74.86,6809788,$75.16,$76.00,$74.24
03/15/2022,$74.40,7873049,$75.10,$75.32,$73.175
03/14/2022,$76.66,7896708,$77.69,$78.70,$75.51
03/11/2022,$78.51,8530014,$77.36,$79.93,$77.36
03/10/2022,$77.93,7369005,$76.04,$78.245,$75.36
03/09/2022,$75.43,8088733,$74.80,$77.28,$73.50
03/08/2022,$76.22,10534160,$76.61,$78.33,$75.15
03/07/2022,$74.54,9396739,$77.77,$78.685,$73.35
03/04/2022,$77.73,6663928,$76.36,$77.77,$76.16
03/03/2022,$77.37,5694478,$76.87,$78.455,$76.65
03/02/2022,$76.99,8013274,$76.18,$77.75,$74.32
03/01/2022,$75.01,6502342,$78.55,$79.28,$74.40
02/28/2022,$77.87,8031320,$75.61,$77.90,$75.4132
02/25/2022,$76.54,5275916,$75.22,$77.03,$74.96
02/24/2022,$74.46,7497740,$76.06,$76.41,$72.75
02/23/2022,$75.72,5763739,$76.27,$76.93,$75.471
02/22/2022,$75.63,4872048,$78.46,$78.60,$74.795
02/18/2022,$77.02,4845357,$76.22,$77.70,$76.18
02/17/2022,$76.96,7034785,$77.83,$78.32,$76.68
02/16/2022,$78.06,5735140,$79.15,$80.28,$77.65
02/15/2022,$78.41,4313309,$77.30,$79.12,$76.91
02/14/2022,$79.16,6547174,$80.86,$81.10,$78.54
02/11/2022,$81.19,6516873,$80.21,$81.385,$79.69
02/10/2022,$79.74,6398131,$79.63,$81.31,$79.28
02/09/2022,$79.79,5570258,$79.27,$80.775,$79.27
02/08/2022,$79.29,7949606,$79.95,$80.46,$78.41
02/07/2022,$79.83,7263922,$78.17,$80.56,$77.77
02/04/2022,$78.19,6173156,$77.62,$78.935,$77.31
02/03/2022,$76.97,7069255,$78.58,$78.90,$76.625
02/02/2022,$78.50,12585440,$76.29,$78.78,$76.05
02/01/2022,$74.02,7660296,$71.07,$74.205,$70.7801
01/31/2022,$71.75,6729390,$71.46,$71.93,$70.33
01/28/2022,$71.80,7761322,$71.80,$72.54,$70.12
01/27/2022,$71.90,9216685,$72.63,$73.285,$70.54
01/26/2022,$70.98,7942808,$72.39,$73.20,$70.42
01/25/2022,$71.50,10674240,$69.90,$71.85,$68.74
01/24/2022,$70.39,9625161,$69.05,$70.72,$67.49
01/21/2022,$70.70,10194340,$71.45,$71.625,$69.84
01/20/2022,$71.99,7200607,$72.635,$74.25,$71.81
01/19/2022,$73.35,6582839,$75.27,$75.65,$73.22
01/18/2022,$74.55,7810688,$74.97,$75.88,$73.495
01/14/2022,$74.74,7237116,$73.00,$74.765,$72.94
01/13/2022,$73.12,5486543,$73.34,$74.135,$72.855
01/12/2022,$73.08,6861786,$73.00,$73.86,$72.37
01/11/2022,$72.69,6882977,$71.32,$72.80,$70.61
01/10/2022,$70.45,5922719,$70.95,$71.41,$69.86
